,city,year,sightings,date_time,date,time,temp,humidity,cloudcover,visibility,heatindex,moon_illumination
22793,Balboa Island,2014,1,02-23 23:00:00,2014-02-23,23,61,82,0,6,61,28
61605,Longs,2013,1,09-26 21:00:00,2013-09-26,21,50,81,7,6,50,46
63184,Houston,2013,1,09-07 21:30:00,2013-09-07,21,79,85,10,6,84,11
2493,Prescott,2013,1,10-19 07:30:00,2013-10-19,7,45,35,0,6,45,100
38263,Phoenix,2009,1,06-12 07:44:00,2009-06-12,7,68,34,4,6,68,60
36242,Elverson,2013,1,05-03 22:05:00,2013-05-03,22,45,94,0,4,45,39
20563,Terrebonne,2011,1,01-09 05:30:00,2011-01-09,5,18,95,83,3,18,29
7017,Fort Morgan,2012,1,01-11 21:30:00,2012-01-11,21,18,56,14,6,18,79
39901,Hendersonville,2012,1,06-19 00:00:00,2012-06-19,0,70,76,8,6,70,0
63149,Heber City,2011,1,09-07 00:22:00,2011-09-07,0,50,75,6,6,50,66
35479,Mason City,2012,1,05-26 00:00:00,2012-05-26,0,59,86,44,6,59,36
54147,Abilene,2009,1,08-21 03:23:00,2009-08-21,3,77,51,6,6,79,0
13980,Sewell,2009,1,12-11 20:30:00,2009-12-11,20,48,66,0,6,48,30
