,city,year,sightings,date_time,date,time,temp,humidity,cloudcover,visibility,heatindex,moon_illumination
16700,Weeki Wachee,2012,1,12-25 21:00:00,2012-12-25,21,63,84,9,6,63,82
44083,Mansfield,2011,1,07-01 00:05:00,2011-07-01,0,45,98,100,0,45,0
13483,Citrus Heights,2011,1,01-19 14:50:00,2011-01-19,14,57,61,0,6,57,100
27647,White City,2012,1,03-31 22:37:00,2012-03-31,22,28,98,76,4,28,55
49411,Hebron,2011,1,07-04 23:00:00,2011-07-04,23,68,83,10,6,70,20
12878,Zeeland,2012,1,11-07 19:20:00,2012-11-07,19,46,94,57,6,46,32
19865,Reedville,2010,1,01-04 05:28:00,2010-01-04,5,27,63,100,5,27,70
48659,Louisville,2013,1,07-03 21:30:00,2013-07-03,21,66,94,11,1,66,25
37018,Canton,2013,1,05-09 21:45:00,2013-05-09,21,59,86,53,6,59,0
22791,Temple City,2014,1,02-23 21:55:00,2014-02-23,21,54,70,0,6,54,28
14642,Richmond,2012,1,12-13 12:18:00,2012-12-13,12,48,55,0,6,48,0
38409,Marengo,2009,1,06-13 21:30:00,2009-06-13,21,57,78,0,6,57,52
59600,Anthony,2011,1,09-17 21:17:00,2011-09-17,21,73,90,25,6,77,59
33551,Highland Village,2012,1,05-12 21:30:00,2012-05-12,21,63,90,37,6,63,51
58644,Kent,2009,1,09-13 20:17:00,2009-09-13,20,57,81,17,6,57,27
13289,Saco,2014,1,01-18 20:30:00,2014-01-18,20,30,91,100,3,30,81
25672,New London,2012,1,03-16 23:20:00,2012-03-16,23,43,91,13,6,43,36
60285,Olympia,2013,1,09-20 04:40:00,2013-09-20,4,50,83,1,6,50,100
39888,Watertown,2010,1,06-19 22:50:00,2010-06-19,22,63,93,42,6,63,50
15717,Stagecoach,2011,1,12-20 22:45:00,2011-12-20,22,48,79,24,6,48,25
37181,Lacassine,2009,1,06-10 20:30:00,2009-06-10,20,79,80,10,6,84,75
32324,Lowry City,2011,1,04-05 21:16:00,2011-04-05,21,50,73,12,6,52,10
56302,Kenosha,2009,1,08-03 17:00:00,2009-08-03,17,77,67,18,6,81,84
13491,District Heights,2011,1,01-19 20:00:00,2011-01-19,20,34,93,5,6,34,100
33414,Rock Hill,2014,1,05-01 20:50:00,2014-05-01,20,59,72,20,6,59,9
61854,Flagstaff,2008,1,09-28 19:23:00,2008-09-28,19,72,22,22,6,70,0
30438,Corona,2011,1,04-20 19:02:00,2011-04-20,19,52,90,4,4,55,77
18131,Lake Villa,2012,1,12-04 19:45:00,2012-12-04,19,43,69,11,6,43,56
50133,Pedro,2012,1,07-06 22:00:00,2012-07-06,22,54,97,83,6,54,81
46637,Owensboro,2011,1,07-02 20:15:00,2011-07-02,20,75,84,12,6,82,6
39564,Baltimore,2012,1,06-17 19:00:00,2012-06-17,19,61,92,20,4,61,0
54173,Felton,2010,1,08-21 23:45:00,2010-08-21,23,73,94,22,6,77,77
39718,Bethpage,2011,1,06-18 23:00:00,2011-06-18,23,70,84,12,6,72,77
54691,Hermann,2012,1,08-23 01:00:00,2012-08-23,1,70,67,42,6,73,39
35847,Commerce,2010,1,05-29 02:00:00,2010-05-29,2,63,35,0,6,63,89
59920,Cathedral City,2008,1,09-19 21:50:00,2008-09-19,21,70,41,4,6,70,62
16288,Boston,2009,1,12-23 19:30:00,2009-12-23,19,16,89,44,6,16,43
17084,New Bern,2013,1,12-28 18:00:00,2013-12-28,18,43,81,32,6,43,19
12638,Coldwater,2014,1,01-16 23:16:00,2014-01-16,23,27,96,100,4,27,100
17193,Cedar Falls,2011,1,12-29 20:00:00,2011-12-29,20,36,84,77,3,36,26
29886,Fall River,2012,1,04-16 23:00:00,2012-04-16,23,55,95,28,6,55,19
22238,Wilmington,2014,1,02-20 06:50:00,2014-02-20,6,59,81,77,6,59,51
26568,Santa Rosa,2012,1,03-22 20:00:00,2012-03-22,20,79,87,43,6,84,0
61401,Grayslake,2010,1,09-25 21:15:00,2010-09-25,21,54,79,73,6,54,79
54001,Antioch,2013,1,08-20 17:00:00,2013-08-20,17,79,42,4,6,81,94
41451,Monterey,2012,1,06-27 03:25:00,2012-06-27,3,63,63,0,6,63,56
3597,Inman,2012,1,10-24 22:00:00,2012-10-24,22,59,87,56,6,59,60
9132,Oak Lawn,2011,1,01-01 00:13:00,2011-01-01,0,45,98,72,3,45,15
62974,Knoxville,2008,1,09-06 23:30:00,2008-09-06,23,59,97,67,1,59,40
17451,Tomball,2009,1,12-31 22:00:00,2009-12-31,22,48,91,76,6,48,97
63122,Council Bluffs,2008,1,09-07 23:00:00,2008-09-07,23,57,68,41,6,57,48
41165,Fontana,2011,1,06-25 22:35:00,2011-06-25,22,70,43,0,6,70,24
